year;TAC_BET;TAC_YFT;TACtn_BET;TACtn_YFT;PS_num(capacity_limit);closure;status_BET;status_YFT;status_SKJ;tech;FAD_prop
1984;0;0;;;;0;;;;1st generation of radio buoys;
1985;0;0;;;;0;;;;;80% FS sets 20% DFAD sets
1986;0;0;;;;0;;;;2nd generation of radio buoys;First artificial DFADs
1991;0;0;;;;0;;;;;
1992;0;0;;;;0;;;;;
1993;0;0;;;;0;;;;;
1994;0;0;;;;0;;;;;
1995;0;0;;;;0;;;;;
1996;0;0;;;;0;;;;Radio buoys with GPS system;
1997;0;0;;;;0;;;;;FS sets < DFAD sets
1998;0;0;;;;0;;;;;
1999;0;0;;;;0;;;;1st generation of echo-sounder buoys;Tender vessels
2000;0;0;;;;1;;x;;;
2001;0;0;;;;1;;;;;
2002;0;0;;;;1;x;;;;
2003;0;0;;;;1;;x;;;
2004;0;0;;;;1;x;;;;
2005;1;0;90000;;;1;;;;;
2006;1;0;90000;;;1;;;;2nd generation of echo-sounder buoys;
2007;1;0;90000;;;1;x;;;;
2008;1;0;90000;;;1;;x;green;;
2009;1;0;90000;;;1;;;;;25% FS sets 75% DFAD sets
2010;1;0;85000;;;1;green;;;;
2011;1;0;85000;;50;1;;yellow;;;
2012;1;1;85000;110000;50;1;;;;;
2013;1;1;85000;110000;50;1;;;;Multi-frecuency echo-sounder buoys;
2014;1;1;85000;110000;50;1;;;green;;
2015;1;1;85000;110000;50;1;red;;;;
2016;1;1;65000;110000;;1;;;;;
2017;1;1;65000;110000;;1;;;;;
